year_film,release_date,year_ceremony,film,winner,Genre,Runtime,Meta_score,Nominated_Both_Director_and_Picture,Golden_Globe_Picture_Winner,pga_winner
2018.0,2018-10-05,2019,A Star Is Born,False,"Drama, Music, Romance",136 min,88.0,False,False,False
2018.0,2018-08-10,2019,BlacKkKlansman,False,"Biography, Comedy, Crime, Drama",135 min,83.0,True,False,False
2018.0,2018-02-16,2019,Black Panther,False,"Action, Adventure, Sci-Fi",134 min,88.0,False,False,False
2018.0,2018-11-02,2019,Bohemian Rhapsody,False,"Biography, Drama, Music",134 min,49.0,False,True,False
2018.0,2018-11-16,2019,Green Book,True,"Biography, Comedy, Drama",130 min,69.0,False,True,True
2018.0,2018-11-21,2019,Roma,False,Drama,135 min,96.0,True,False,False
2018.0,2018-11-23,2019,The Favourite,False,"Biography, Comedy, Drama, History",119 min,91.0,True,False,False
2018.0,2018-12-25,2019,Vice,False,"Biography, Comedy, Drama, History",131 min,61.0,True,False,False
2017.0,2017-10-06,2018,Call Me by Your Name,False,"Drama, Romance",132 min,93.0,False,False,False
2017.0,2017-11-22,2018,Darkest Hour,False,"Biography, Drama, History, War",125 min,75.0,False,False,False
2017.0,2017-07-19,2018,Dunkirk,False,"Action, Drama, History",106 min,94.0,True,False,False
2017.0,2017-02-24,2018,Get Out,False,"Horror, Mystery, Thriller",104 min,85.0,True,False,False
2017.0,2017-11-03,2018,Lady Bird,False,"Comedy, Drama",94 min,93.0,True,True,False
2017.0,2017-12-25,2018,Phantom Thread,False,"Drama, Romance",130 min,90.0,True,False,False
2017.0,2017-12-22,2018,The Post,False,"Biography, Drama, History, Thriller, War",116 min,83.0,False,False,False
2017.0,2017-12-01,2018,The Shape of Water,True,"Drama, Fantasy, Romance, Sci-Fi",123 min,87.0,True,False,True
2017.0,2017-12-01,2018,"Three Billboards outside Ebbing, Missouri",False,"Comedy, Crime, Drama",115 min,88.0,False,True,False
2016.0,2016-11-11,2017,Arrival,False,"Drama, Sci-Fi",116 min,81.0,True,False,False
2016.0,2016-12-16,2017,Fences,False,Drama,139 min,79.0,False,False,False
2016.0,2016-11-04,2017,Hacksaw Ridge,False,"Biography, Drama, History",139 min,71.0,True,False,False
2016.0,2016-08-12,2017,Hell or High Water,False,"Action, Crime, Drama",102 min,88.0,False,False,False
2016.0,2016-12-10,2017,Hidden Figures,False,"Biography, Drama, History",127 min,74.0,False,False,False
2016.0,2016-12-09,2017,La La Land,False,"Comedy, Drama, Music",128 min,94.0,True,True,True
2016.0,2016-11-25,2017,Lion,False,"Biography, Drama",118 min,69.0,False,False,False
2016.0,2016-11-18,2017,Manchester by the Sea,False,Drama,137 min,96.0,True,False,False
2016.0,2016-10-21,2017,Moonlight,True,Drama,111 min,99.0,True,True,False
2015.0,2015-10-16,2016,Bridge of Spies,False,"Drama, History, Thriller",142 min,81.0,False,False,False
2015.0,2015-11-04,2016,Brooklyn,False,"Drama, Romance",117 min,88.0,False,False,False
2015.0,2015-05-15,2016,Mad Max: Fury Road,False,"Action, Adventure, Sci-Fi",120 min,90.0,True,False,False
2015.0,2015-10-16,2016,Room,False,"Drama, Thriller",118 min,86.0,True,False,False
2015.0,2015-11-06,2016,Spotlight,True,"Biography, Crime, Drama",129 min,93.0,True,False,False
